fips,state,county,rent_2br,median_price,breakeven_rent,monthly_gap,verdict
5003,Arkansas,Ashley County,880.0,207353.0,863.9708333333334,16.029166666666583,BORDERLINE
5005,Arkansas,Baxter County,964.0,233067.0,971.1125000000001,-7.112500000000068,BORDERLINE
5007,Arkansas,Benton County,1347.0,360292.0,1501.216666666667,-154.21666666666692,RENT
5009,Arkansas,Boone County,880.0,248127.0,1033.8625,-153.86249999999995,RENT
5011,Arkansas,Bradley County,880.0,277115.0,1154.6458333333333,-274.64583333333326,RENT
5013,Arkansas,Calhoun County,1011.0,291463.0,1214.4291666666668,-203.4291666666668,RENT
5015,Arkansas,Carroll County,954.0,280898.0,1170.4083333333335,-216.40833333333353,RENT
5017,Arkansas,Chicot County,880.0,228975.0,954.0625,-74.0625,RENT
5019,Arkansas,Clark County,880.0,213710.0,890.4583333333334,-10.458333333333371,BORDERLINE
5021,Arkansas,Clay County,880.0,251001.0,1045.8375,-165.8375000000001,RENT
5023,Arkansas,Cleburne County,955.0,230309.0,959.6208333333334,-4.620833333333394,BORDERLINE
5025,Arkansas,Cleveland County,880.0,289300.0,1205.4166666666667,-325.41666666666674,RENT
5027,Arkansas,Columbia County,903.0,220789.0,919.9541666666668,-16.954166666666765,BORDERLINE
5029,Arkansas,Conway County,880.0,248692.0,1036.2166666666667,-156.2166666666667,RENT
5031,Arkansas,Craighead County,1040.0,277185.0,1154.9375,-114.9375,RENT
5033,Arkansas,Crawford County,937.0,280182.0,1167.425,-230.42499999999995,RENT
5037,Arkansas,Cross County,880.0,272682.0,1136.175,-256.17499999999995,RENT
5039,Arkansas,Dallas County,880.0,269012.0,1120.8833333333334,-240.88333333333344,RENT
5041,Arkansas,Desha County,880.0,289783.0,1207.4291666666668,-327.4291666666668,RENT
5043,Arkansas,Drew County,927.0,261524.0,1089.6833333333334,-162.6833333333334,RENT
5045,Arkansas,Faulkner County,1147.0,321098.0,1337.9083333333335,-190.90833333333353,RENT
5047,Arkansas,Franklin County,880.0,245525.0,1023.0208333333334,-143.02083333333337,RENT
5049,Arkansas,Fulton County,880.0,214871.0,895.2958333333335,-15.295833333333462,BORDERLINE
5051,Arkansas,Garland County,1090.0,311379.0,1297.4125000000001,-207.41250000000014,RENT
5053,Arkansas,Grant County,968.0,263635.0,1098.4791666666667,-130.47916666666674,RENT
5055,Arkansas,Greene County,905.0,288178.0,1200.7416666666668,-295.7416666666668,RENT
5057,Arkansas,Hempstead County,908.0,274376.0,1143.2333333333333,-235.23333333333335,RENT
5059,Arkansas,Hot Spring County,880.0,258063.0,1075.2625,-195.26250000000005,RENT
5061,Arkansas,Howard County,883.0,168680.0,702.8333333333334,180.16666666666663,BUY
5063,Arkansas,Independence County,891.0,262602.0,1094.175,-203.17499999999995,RENT
5065,Arkansas,Izard County,880.0,196120.0,817.1666666666666,62.83333333333337,BUY
5067,Arkansas,Jackson County,880.0,255657.0,1065.2375,-185.23749999999995,RENT
5069,Arkansas,Jefferson County,937.0,218345.0,909.7708333333334,27.22916666666663,BORDERLINE
5073,Arkansas,Lafayette County,880.0,231112.0,962.9666666666667,-82.9666666666667,RENT
5075,Arkansas,Lawrence County,880.0,214668.0,894.4500000000002,-14.45000000000016,BORDERLINE
5077,Arkansas,Lee County,880.0,217775.0,907.3958333333334,-27.39583333333337,BORDERLINE
5079,Arkansas,Lincoln County,880.0,195574.0,814.8916666666668,65.10833333333323,BUY
5081,Arkansas,Little River County,880.0,229044.0,954.35,-74.35000000000002,RENT
5083,Arkansas,Logan County,880.0,251060.0,1046.0833333333333,-166.08333333333326,RENT
5085,Arkansas,Lonoke County,1147.0,338249.0,1409.3708333333334,-262.3708333333334,RENT
5087,Arkansas,Madison County,1347.0,307138.0,1279.7416666666668,67.25833333333321,BUY
5089,Arkansas,Marion County,908.0,230081.0,958.6708333333335,-50.67083333333346,RENT
5091,Arkansas,Miller County,1101.0,316207.0,1317.5291666666667,-216.5291666666667,RENT
5093,Arkansas,Mississippi County,880.0,249031.0,1037.6291666666668,-157.62916666666683,RENT
5095,Arkansas,Monroe County,880.0,247429.0,1030.9541666666667,-150.95416666666665,RENT
5097,Arkansas,Montgomery County,880.0,269008.0,1120.8666666666668,-240.8666666666668,RENT
5099,Arkansas,Nevada County,911.0,262215.0,1092.5625,-181.5625,RENT
5101,Arkansas,Newton County,880.0,251234.0,1046.8083333333334,-166.8083333333334,RENT
5103,Arkansas,Ouachita County,880.0,260108.0,1083.7833333333335,-203.78333333333353,RENT
5105,Arkansas,Perry County,1147.0,348989.0,1454.1208333333334,-307.1208333333334,RENT
5107,Arkansas,Phillips County,880.0,246280.0,1026.1666666666667,-146.16666666666674,RENT
5109,Arkansas,Pike County,880.0,234820.0,978.4166666666666,-98.41666666666663,RENT
5111,Arkansas,Poinsett County,880.0,259366.0,1080.6916666666668,-200.69166666666683,RENT
5113,Arkansas,Polk County,897.0,250328.0,1043.0333333333335,-146.03333333333353,RENT
5115,Arkansas,Pope County,938.0,292934.0,1220.5583333333334,-282.5583333333334,RENT
5117,Arkansas,Prairie County,880.0,292524.0,1218.8500000000001,-338.85000000000014,RENT
5119,Arkansas,Pulaski County,1147.0,323562.0,1348.175,-201.17499999999995,RENT
5121,Arkansas,Randolph County,880.0,212787.0,886.6125000000001,-6.612500000000068,BORDERLINE
5125,Arkansas,Saline County,1147.0,342626.0,1427.6083333333333,-280.60833333333335,RENT
5127,Arkansas,Scott County,880.0,224720.0,936.3333333333334,-56.33333333333337,RENT
5129,Arkansas,Searcy County,880.0,214670.0,894.4583333333334,-14.458333333333371,BORDERLINE
5131,Arkansas,Sebastian County,937.0,259666.0,1081.9416666666668,-144.94166666666683,RENT
5133,Arkansas,Sevier County,880.0,228905.0,953.7708333333334,-73.77083333333337,RENT
5135,Arkansas,Sharp County,880.0,295695.0,1232.0625,-352.0625,RENT
5123,Arkansas,St. Francis County,923.0,275417.0,1147.5708333333334,-224.57083333333344,RENT
5137,Arkansas,Stone County,909.0,235379.0,980.7458333333334,-71.7458333333334,RENT
5139,Arkansas,Union County,923.0,281818.0,1174.2416666666668,-251.2416666666668,RENT
5141,Arkansas,Van Buren County,880.0,231165.0,963.1875,-83.1875,RENT
5143,Arkansas,Washington County,1347.0,370098.0,1542.075,-195.07500000000005,RENT
5145,Arkansas,White County,880.0,258549.0,1077.2875000000001,-197.28750000000014,RENT
5147,Arkansas,Woodruff County,880.0,256839.0,1070.1625000000001,-190.16250000000014,RENT
5149,Arkansas,Yell County,880.0,263113.0,1096.3041666666668,-216.3041666666668,RENT
6001,California,Alameda County,2912.0,990472.0,4126.966666666667,-1214.9666666666672,RENT
6003,California,Alpine County,1529.0,619979.0,2583.2458333333334,-1054.2458333333334,RENT
6005,California,Amador County,1698.0,815618.0,3398.4083333333333,-1700.4083333333333,RENT
6007,California,Butte County,1625.0,510311.0,2126.2958333333336,-501.2958333333336,RENT
6009,California,Calaveras County,1542.0,644221.0,2684.254166666667,-1142.254166666667,RENT
6011,California,Colusa County,1306.0,512587.0,2135.7791666666667,-829.7791666666667,RENT
