fips,state,county,rent_2br,median_price,breakeven_rent,monthly_gap,verdict
13213,Georgia,Murray County,1009.0,255375.0,1064.0625,-55.0625,RENT
13215,Georgia,Muscogee County,1088.0,284491.0,1185.3791666666668,-97.37916666666683,RENT
13219,Georgia,Oconee County,1331.0,387733.0,1615.5541666666668,-284.5541666666668,RENT
13221,Georgia,Oglethorpe County,1331.0,366843.0,1528.5125,-197.51250000000005,RENT
13225,Georgia,Peach County,1129.0,180059.0,750.2458333333334,378.7541666666666,BUY
13229,Georgia,Pierce County,1042.0,179402.0,747.5083333333333,294.4916666666667,BUY
13233,Georgia,Polk County,1018.0,115864.0,482.7666666666667,535.2333333333333,BUY
13235,Georgia,Pulaski County,1003.0,355710.0,1482.125,-479.125,RENT
13237,Georgia,Putnam County,1134.0,177044.0,737.6833333333334,396.3166666666666,BUY
13239,Georgia,Quitman County,973.0,232310.0,967.9583333333334,5.041666666666629,BORDERLINE
13241,Georgia,Rabun County,1117.0,400108.0,1667.1166666666668,-550.1166666666668,RENT
13243,Georgia,Randolph County,1028.0,269719.0,1123.8291666666667,-95.82916666666665,RENT
13249,Georgia,Schley County,973.0,185857.0,774.4041666666667,198.5958333333333,BUY
13251,Georgia,Screven County,973.0,243639.0,1015.1625,-42.16250000000002,BORDERLINE
13253,Georgia,Seminole County,973.0,227640.0,948.5,24.5,BORDERLINE
13257,Georgia,Stephens County,1006.0,292937.0,1220.5708333333334,-214.57083333333344,RENT
13259,Georgia,Stewart County,973.0,178140.0,742.25,230.75,BUY
13261,Georgia,Sumter County,1088.0,228494.0,952.0583333333334,135.9416666666666,BUY
13263,Georgia,Talbot County,973.0,215881.0,899.5041666666667,73.49583333333328,BUY
13265,Georgia,Taliaferro County,973.0,190116.0,792.1500000000001,180.8499999999999,BUY
13267,Georgia,Tattnall County,973.0,295258.0,1230.2416666666668,-257.2416666666668,RENT
13269,Georgia,Taylor County,973.0,160119.0,667.1625,305.8375,BUY
13271,Georgia,Telfair County,973.0,290285.0,1209.5208333333333,-236.52083333333326,RENT
13273,Georgia,Terrell County,1129.0,322217.0,1342.5708333333334,-213.57083333333344,RENT
13275,Georgia,Thomas County,1149.0,497618.0,2073.4083333333333,-924.4083333333333,RENT
13277,Georgia,Tift County,973.0,342480.0,1427.0,-454.0,RENT
13279,Georgia,Toombs County,973.0,277411.0,1155.8791666666668,-182.87916666666683,RENT
13281,Georgia,Towns County,973.0,323759.0,1348.9958333333334,-375.9958333333334,RENT
13283,Georgia,Treutlen County,973.0,223725.0,932.1875,40.8125,BORDERLINE
13285,Georgia,Troup County,1167.0,591375.0,2464.0625,-1297.0625,RENT
13287,Georgia,Turner County,973.0,59305.0,247.10416666666666,725.8958333333334,BUY
13289,Georgia,Twiggs County,1307.0,568790.0,2369.9583333333335,-1062.9583333333335,RENT
13291,Georgia,Union County,984.0,179207.0,746.6958333333333,237.30416666666667,BUY
13293,Georgia,Upson County,973.0,396467.0,1651.9458333333334,-678.9458333333334,RENT
13299,Georgia,Ware County,1031.0,190305.0,792.9375,238.0625,BUY
13301,Georgia,Warren County,973.0,465626.0,1940.1083333333336,-967.1083333333336,RENT
13303,Georgia,Washington County,999.0,269758.0,1123.9916666666668,-124.99166666666679,RENT
13305,Georgia,Wayne County,1021.0,145863.0,607.7625,413.23749999999995,BUY
13307,Georgia,Webster County,973.0,460716.0,1919.6500000000003,-946.6500000000003,RENT
13309,Georgia,Wheeler County,973.0,299750.0,1248.9583333333333,-275.95833333333326,RENT
13311,Georgia,White County,1177.0,382220.0,1592.5833333333333,-415.58333333333326,RENT
13313,Georgia,Whitfield County,1121.0,388192.0,1617.466666666667,-496.4666666666669,RENT
13315,Georgia,Wilcox County,973.0,180705.0,752.9375,220.0625,BUY
13317,Georgia,Wilkes County,973.0,282579.0,1177.4125000000001,-204.41250000000014,RENT
13319,Georgia,Wilkinson County,973.0,286118.0,1192.1583333333335,-219.15833333333353,RENT
13321,Georgia,Worth County,1129.0,374126.0,1558.8583333333333,-429.85833333333335,RENT
